avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure
221,engineering,,0.932867640125,4,,low,0.829896195856,Left,5.0
232,support,,,3,,low,0.83454379486,Employed,2.0
184,sales,,0.788829841906,3,,medium,0.83498761146,Employed,3.0
206,sales,,0.575687930548,4,,low,0.424764288455,Employed,2.0
249,sales,,0.845217472223,3,,low,0.779043096207,Employed,3.0
140,sales,,0.589097371097,4,,medium,0.660019904653,Employed,4.0
121,sales,1.0,0.625398829756,3,,low,0.835570551332,Employed,3.0
150,engineering,,0.644585844252,4,,low,0.796683395041,Employed,3.0
215,engineering,1.0,0.524113534303,3,,medium,0.715005031778,Employed,7.0
269,support,,0.909364329867,5,,medium,0.994037397572,Employed,2.0
147,sales,,,2,,medium,0.403551807833,Left,3.0
188,sales,1.0,0.925479635028,6,,low,0.481408601913,Employed,5.0
191,support,,0.946723810178,5,,low,0.925337129205,Employed,4.0
290,engineering,,0.770247874835,6,,medium,0.0903427928993,Left,4.0
253,sales,,0.579966136579,5,,medium,0.627725954785,Employed,6.0
258,support,,0.83750251321,5,,medium,0.849667273388,Left,5.0
151,engineering,,0.452832173339,4,,medium,0.658608148415,Employed,3.0
252,IT,,0.919196292221,5,,low,0.893364991385,Left,5.0
276,product,,0.570038733441,4,,low,0.382260201481,Employed,2.0
154,marketing,,,2,,low,0.422224873681,Left,3.0
259,product,,0.763606785571,2,,low,0.787468036595,Employed,3.0
136,marketing,,,3,,low,0.441057742416,Employed,3.0
176,IT,,,3,,low,0.871386303936,Employed,3.0
231,support,,0.937508765506,4,,medium,0.668369478474,Employed,3.0
125,temp,,,2,,medium,,Employed,
109,sales,1.0,0.79806865971,3,,low,0.5378283407,Employed,3.0
130,procurement,1.0,0.716030369805,6,,low,0.17545398857,Employed,6.0
163,sales,,0.550433958621,2,,medium,0.544376725538,Employed,3.0
67,temp,,,1,,low,,Employed,
184,sales,,0.762948071371,4,,medium,0.61761099451,Employed,3.0
268,engineering,,0.943844634761,3,,low,0.936081051349,Employed,4.0
188,finance,,0.862307681863,3,,medium,1.0,Employed,4.0
107,engineering,,0.474348552013,2,,medium,0.615676166623,Employed,3.0
156,sales,,0.621111081488,3,,medium,0.428014178318,Employed,3.0
234,IT,1.0,0.861565035066,4,,medium,0.627199942868,Employed,2.0
127,sales,,,5,,low,0.834380141441,Employed,3.0
282,IT,,0.723354974146,5,,medium,0.213991819262,Employed,3.0
133,sales,,0.971212666951,3,,low,0.81881990402,Employed,4.0
270,engineering,,0.475292596644,6,,low,0.150336701933,Employed,5.0
184,,,1.0,5,,low,0.297124011916,Employed,5.0
132,marketing,,0.495013019585,2,,low,0.438559831841,Left,3.0
126,support,1.0,0.821486564704,3,,low,0.772891198476,Employed,10.0
139,product,,0.856088542854,4,,medium,0.683456025422,Employed,3.0
308,engineering,,0.863262837113,7,,medium,0.124350225113,Left,4.0
70,temp,,,3,,low,,Employed,
147,engineering,,,2,,low,0.401974706734,Left,3.0
274,support,,0.842357312745,5,,medium,0.803068372458,Left,6.0
278,sales,,0.766255776106,7,,low,0.148641753756,Left,4.0
156,engineering,,0.988904841707,4,,medium,0.456248436343,Employed,2.0
185,sales,,0.598749268628,4,,low,0.869204283803,Employed,2.0
