avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,tenure
228,management,,0.735617884,2,,high,0.805661074,3
229,product,,1,4,,low,0.71996055,4
196,sales,1,0.557426166,4,,low,0.749835458,2
207,IT,,0.715171294,3,,high,0.987447352,3
129,management,,0.48481788,2,,low,0.441218574,3
125,sales,1,0.905482444,5,,low,0.474793244,3
176,sales,1,0.515746806,4,,low,0.742795391,4
252,management,,0.848242901,4,,low,0.523319116,3
213,support,,0.549430552,3,,low,0.640055823,4
158,support,,0.571073829,2,,low,0.451835631,3
268,engineering,,0.993273847,4,,low,0.603060683,2
223,engineering,,0.798943712,4,,medium,0.749307406,3
233,support,1,0.780726966,4,,low,0.853966134,4
249,sales,,0.826735644,4,,low,0.860247132,3
244,product,,0.647449701,4,,low,0.819767865,3
257,finance,,0.807960564,6,,medium,0.043275076,4
160,sales,,0.992553105,4,,medium,0.648948121,2
248,management,,0.8049018,5,,medium,0.707852219,4
162,management,,0.690782563,4,,high,0.660201583,10
207,product,,0.550414109,4,,low,0.931644652,3
245,product,,0.623552429,3,,medium,0.576377978,2
201,management,,0.649378977,3,,medium,0.709474944,4
165,sales,,0.624215114,3,,low,0.647353797,3
188,sales,,0.410992349,3,,high,0.838359594,4
148,support,,,4,,low,0.753868792,2
296,sales,,0.838477416,7,,low,0.152410773,4
163,IT,1,0.703263257,3,,low,0.541761052,3
256,,,0.446633195,4,,low,0.256910249,5
159,,,,3,,medium,0.812480105,3
160,sales,,,3,,low,0.825673431,3
208,product,,0.952785469,5,,low,0.819059626,3
197,sales,,0.918574104,4,,medium,0.810474062,2
178,management,,0.724307127,2,,medium,0.920924084,3
226,sales,,0.498048151,4,,low,0.606895181,5
259,support,,0.800408254,5,1,medium,0.951204285,3
271,support,,0.97099605,5,,low,0.77993988,5
242,sales,,0.846234826,4,,low,0.771210209,6
205,sales,,0.813889399,4,,low,0.867590735,2
267,engineering,,0.551174304,4,,high,0.544889887,2
190,sales,,0.871756014,5,,low,0.88844099,2
145,engineering,,0.585053653,4,,medium,0.448937685,2
174,procurement,1,,4,,low,0.809714415,3
157,sales,,0.960704453,2,,medium,0.908356185,3
157,support,,0.572793631,2,,low,0.357307244,3
278,engineering,,0.608067819,4,,low,0.150283516,6
177,product,,0.803273318,2,,low,1,4
188,marketing,1,0.821478148,4,,low,0.612704097,3
156,sales,,0.598171326,3,,medium,0.340493165,3
278,procurement,,0.64977008,2,,low,0.357610466,4
162,sales,1,0.522205942,3,,medium,0.475711043,3
206,support,,0.860155547,2,,medium,0.216451482,4
167,IT,1,,3,,low,0.531586234,2
139,support,,0.973841065,4,,medium,0.963395359,3
160,engineering,1,0.936679284,3,,medium,0.778140756,3
161,finance,1,0.524297352,5,,high,0.973181754,3
128,engineering,,,2,,medium,0.354537792,3
161,product,,0.649414081,2,,medium,0.407943553,2
140,finance,,0.918119759,4,,low,0.655658164,2
181,IT,,,4,,low,0.628293848,2
274,admin,,0.967584542,5,,medium,0.61396561,3
192,engineering,,,3,,low,0.567457153,3
220,marketing,,0.962790858,4,,medium,0.591647186,10
194,management,,0.678049187,4,,high,0.69598137,2
227,marketing,,0.763685183,4,,medium,0.20972083,5
222,support,,0.938263091,5,,medium,0.532951448,4
269,engineering,,0.897574502,5,,low,0.909097563,5
218,engineering,,0.785813012,4,,low,0.209748097,6
202,sales,,0.880732592,3,,medium,0.841047596,2
230,finance,1,0.73423113,5,,low,0.815076659,4
157,finance,,0.568914094,2,,low,0.475716328,3
148,finance,,0.688649821,3,,low,0.484179275,3
161,engineering,,0.527520547,5,,high,0.693180151,5
195,sales,,0.81571693,4,,low,0.57253271,2
140,sales,,0.532709341,2,,low,0.501377877,3
188,engineering,,0.731500745,4,,low,0.724246634,2
225,sales,,0.89871737,5,,low,0.864732323,5
261,sales,1,0.50297267,4,,medium,0.283198766,3
154,management,,0.714214019,6,,high,0.449903005,2
104,engineering,,0.848221941,5,,high,0.477291516,4
171,sales,,0.905893642,5,,low,0.860406046,2
151,management,,0.458516697,4,,medium,0.315843329,6
263,engineering,,0.993685027,5,,medium,0.835782027,5
159,engineering,,0.49530004,2,,low,0.366126315,3
163,sales,,0.432458913,4,,high,0.193249423,6
222,IT,,0.671499562,4,,low,0.879037373,2
266,sales,,0.800767527,5,,low,0.956691696,2
229,support,,0.941178768,4,,low,0.818718806,5
270,sales,,0.755025201,4,,high,0.250019746,2
153,information_technology,,0.626691374,4,,low,0.865419786,4
201,sales,,0.876844892,4,,medium,0.479392293,8
181,engineering,,0.52930372,3,,low,0.981621827,3
233,IT,,0.497174865,3,,low,0.506743096,4
262,finance,,0.562658116,4,,low,0.801351822,4
156,support,,0.701803172,4,,low,0.926945801,2
95,temp,,,2,,low,,
149,sales,,0.525212471,2,,low,0.433493072,3
174,support,,0.926321385,4,,low,0.97370731,3
260,engineering,,0.676624456,4,,medium,0.7547021,3
257,support,,0.771126964,4,,medium,0.523893361,3
157,information_technology,,0.779186602,4,,medium,0.688292322,3
72,temp,,,1,,low,,
280,sales,,0.955363102,6,,low,0.074024706,4
147,engineering,,0.581610528,3,,low,0.658594321,4
275,sales,,0.589799707,6,,low,0.110892163,5
133,IT,,0.777835425,4,,medium,0.691679513,2
300,support,,0.957338138,4,,medium,0.694679799,5
140,IT,,0.550396567,2,,low,0.389195183,3
225,support,,1,6,,medium,0.733522254,4
139,sales,,0.57350706,2,,low,0.452876197,3
135,engineering,,0.85992833,4,,low,0.961130894,3
148,engineering,1,0.598877012,3,,low,0.61629218,2
276,engineering,,0.849135958,6,,low,0.065203189,4
221,finance,1,0.82546768,4,,low,0.748560542,2
183,admin,,0.906230311,3,,low,0.777346195,4
249,IT,,0.556229257,4,,medium,0.701152536,5
119,sales,,0.410614175,3,,low,0.454262078,2
