CustomerID,total_transactions,total_products,total_unique_products,avg_product_value,total_sales,min_cart_value,max_cart_value,avg_cart_value
12347,7,182,103,23.6813186813,4310.0,224.82,1294.32,615.714285714
12348,4,31,22,57.975483871,1797.24,227.44,892.8,449.31
12349,1,73,73,24.0760273973,1757.55,1757.55,1757.55,1757.55
12350,1,17,17,19.6705882353,334.4,334.4,334.4,334.4
12352,8,85,59,29.4828235294,2506.04,120.33,840.3,313.255
12353,1,4,4,22.25,89.0,89.0,89.0,89.0
12354,1,58,58,18.6103448276,1079.4,1079.4,1079.4,1079.4
12355,1,13,13,35.3384615385,459.4,459.4,459.4,459.4
12356,3,59,53,47.6513559322,2811.43,58.35,2271.62,937.143333333
12357,1,131,131,47.3867938931,6207.67,6207.67,6207.67,6207.67
12358,2,19,13,61.4768421053,1168.06,484.86,683.2,584.03
12359,4,248,214,25.6958870968,6372.58,547.5,2876.85,1593.145
12360,3,129,105,20.636124031,2662.06,534.7,1083.58,887.353333333
12361,1,10,10,18.99,189.9,189.9,189.9,189.9
12362,10,266,201,19.647481203,5226.23,303.76,829.99,522.623
12363,2,23,23,24.0,552.0,252.9,299.1,276.0
12364,4,85,70,15.4482352941,1313.1,79.8,623.92,328.275
12365,2,22,22,29.1536363636,641.38,320.69,320.69,320.69
12367,1,11,11,15.3545454545,168.9,168.9,168.9,168.9
12370,4,167,143,21.2316766467,3545.69,277.2,1590.82,886.4225
12371,2,63,63,29.9676190476,1887.96,360.0,1527.96,943.98
12372,3,52,34,24.9623076923,1298.04,383.12,515.7,432.68
12373,1,14,14,26.0428571429,364.6,364.6,364.6,364.6
12374,1,33,33,22.513030303,742.93,742.93,742.93,742.93
12375,2,17,14,26.9117647059,457.5,227.2,230.3,228.75
12377,2,77,72,21.1444155844,1628.12,626.6,1001.52,814.06
12378,1,219,219,18.3042009132,4008.62,4008.62,4008.62,4008.62
12379,2,40,39,21.306,852.24,392.4,459.84,426.12
12380,4,104,77,26.2000961538,2724.81,450.86,1040.39,681.2025
12381,5,87,70,21.2104597701,1845.31,4.5,1268.74,369.062
12383,5,99,84,18.6925252525,1850.56,99.45,651.16,370.112
12384,2,27,26,21.6766666667,585.27,292.58,292.69,292.635
12386,2,10,10,40.19,401.9,143.0,258.9,200.95
12388,6,100,57,27.8066,2780.66,124.05,902.09,463.443333333
12390,1,32,32,17.1825,549.84,549.84,549.84,549.84
12391,1,100,92,4.6089,460.89,460.89,460.89,460.89
12393,4,64,47,24.728125,1582.6,177.0,521.5,395.65
12394,2,27,26,47.1288888889,1272.48,381.08,891.4,636.24
12395,12,156,91,19.3501923077,3018.63,149.97,346.68,251.5525
12397,2,126,110,19.1261904762,2409.9,1195.09,1214.81,1204.95
12398,1,85,85,19.2430588235,1635.66,1635.66,1635.66,1635.66
12399,4,59,47,18.7906779661,1108.65,130.08,480.9,277.1625
12401,1,5,5,16.86,84.3,84.3,84.3,84.3
12402,1,11,11,20.5090909091,225.6,225.6,225.6,225.6
12403,1,5,5,85.54,427.7,427.7,427.7,427.7
12405,1,54,54,31.6738888889,1710.39,1710.39,1710.39,1710.39
12406,2,105,92,32.5266666667,3415.3,1621.25,1794.05,1707.65
12407,5,77,57,22.1833766234,1708.12,192.34,719.06,341.624
12408,5,105,81,27.51,2888.55,74.7,762.89,577.71
12409,3,109,91,101.58412844,11072.67,4.95,6207.08,3690.89
12410,2,26,26,26.6665384615,693.33,68.0,625.33,346.665
12412,3,61,43,20.1127868852,1226.88,336.14,514.5,408.96
12413,3,38,29,19.95,758.1,84.65,479.25,252.7
12414,3,18,16,31.245,562.41,153.76,242.8,187.47
12417,9,192,158,19.0057291667,3649.1,291.34,562.69,405.455555556
12418,1,34,34,19.6641176471,668.58,668.58,668.58,668.58
12420,1,29,29,20.7031034483,600.39,600.39,600.39,600.39
12421,4,45,32,17.9342222222,807.04,157.45,239.35,201.76
12422,3,39,39,20.6041025641,803.56,147.7,417.36,267.853333333
12423,8,125,97,14.87448,1859.31,84.92,347.35,232.41375
